threshold,false_negatives,false_positives,total_cost
0.01,0,56527,56527
0.02,0,56472,56472
0.03,0,56380,56380
0.04,1,56233,56243
0.05,2,56005,56025
0.060000000000000005,3,55712,55742
0.06999999999999999,5,55281,55331
0.08,11,54814,54924
0.09,17,54241,54411
0.09999999999999999,27,53624,53894
0.11,36,52925,53285
0.12,53,52153,52683
0.13,61,51318,51928
0.14,73,50479,51209
0.15000000000000002,90,49571,50471
0.16,109,48613,49703
0.17,124,47643,48883
0.18000000000000002,149,46636,48126
0.19,168,45575,47255
0.2,193,44501,46431
0.21000000000000002,219,43397,45587
0.22,244,42282,44722
0.23,266,41209,43869
0.24000000000000002,302,40102,43122
0.25,337,38990,42360
0.26,367,37850,41520
0.27,401,36746,40756
0.28,437,35676,40046
0.29000000000000004,477,34621,39391
0.3,524,33566,38806
0.31,567,32518,38188
0.32,604,31509,37549
0.33,657,30473,37043
0.34,695,29493,36443
0.35000000000000003,741,28522,35932
0.36000000000000004,794,27564,35504
0.37,860,26569,35169
0.38,920,25627,34827
0.39,969,24698,34388
0.4,1027,23780,34050
0.41000000000000003,1095,22920,33870
0.42000000000000004,1167,22015,33685
0.43,1231,21149,33459
0.44,1296,20275,33235
0.45,1369,19447,33137
0.46,1440,18638,33038
0.47000000000000003,1515,17836,32986
0.48000000000000004,1577,17041,32811
0.49,1646,16306,32766
0.5,1722,15570,32790
0.51,1806,14831,32891
0.52,1878,14113,32893
0.53,1956,13369,32929
0.54,2032,12699,33019
0.55,2108,12045,33125
0.56,2183,11388,33218
0.5700000000000001,2256,10796,33356
0.5800000000000001,2319,10189,33379
0.59,2393,9624,33554
0.6,2479,9054,33844
0.61,2565,8495,34145
0.62,2651,7921,34431
0.63,2742,7411,34831
0.64,2824,6939,35179
0.65,2910,6447,35547
0.66,3007,6002,36072
0.67,3090,5577,36477
0.68,3183,5151,36981
0.6900000000000001,3275,4754,37504
0.7000000000000001,3355,4326,37876
0.7100000000000001,3440,3973,38373
0.72,3523,3595,38825
0.73,3617,3257,39427
0.74,3685,2915,39765
0.75,3767,2621,40291
0.76,3852,2315,40835
0.77,3923,2054,41284
0.78,3999,1791,41781
0.79,4085,1538,42388
0.8,4181,1337,43147
0.81,4254,1123,43663
0.8200000000000001,4340,969,44369
0.8300000000000001,4423,808,45038
0.8400000000000001,4491,668,45578
0.85,4562,542,46162
0.86,4617,416,46586
0.87,4681,309,47119
0.88,4735,217,47567
0.89,4799,162,48152
0.9,4842,102,48522
0.91,4884,57,48897
0.92,4905,28,49078
0.93,4940,14,49414
0.9400000000000001,4955,6,49556
0.9500000000000001,4959,1,49591
0.9600000000000001,4964,1,49641
0.97,4965,0,49650
0.98,4965,0,49650
0.99,4965,0,49650
